REGISTRE;F1;P1;P1A;P1B;P2;P2A;P2B;P3;P4_1;P4_2;P4_3;P4_4;P4_5;P4_6;P4_7;P4_8;P4_9;P4_10;P4_11;P4_12;P4_95;P4_98;P4_99;P5A;P5B;P5C;P5D;P5E;P5F;P5G;P5H;P5I;P5J;P5K;P5L;P5M;P5N;P5O;P5P;P5Q;P5R;P6;P7;P8;ID0;ID1;ID2;ID3;ID4_1;ID4_2;ID5;ID5_1;ID6;ID7;USU;RFD_GB;POND
93;1;2; ;2;2; ; ;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;2;2;1;1;1;2;2;2;2;2;1;2;1;2;1;3;2;1;8;50;31;1;31;2;3;218;5;3;4;49,2;,72
94;1;1;2; ;1;1; ;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;2;1;1;2;1;1;2;2;2;2;2;2;1;2;2;2;2;2;3;2;8;50;31;2;23;1;3;218;1;3;2;49,2;,72
95;1;1;2; ;1;1; ;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;1;1;2;1;1;1;1;2;1;2;2;1;2;2;2;2;1;3;2;8;50;31;2;32;2;1; ;1;4;3;49,2;,72
96;1;2; ;2;1;1; ;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;3;2;2;8;50;31;1;21;1;3;504;1;2;4;49,2;,72
97;1;1;1; ;1;2;2;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;1;1; ;8;50;31;1;68;6;1; ;3;2;4;49,2;,72
98;1;1;1; ;1;1; ;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;1;1;1;1;1;1;2;2;1;1;1;2;1;2;3;2;8;50;31;2;31;2;1; ;1;2;2;49,2;,72
99;1;2; ;2;1;1; ;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;3; ;8;50;31;2;56;5;1; ;3;2;4;49,2;,72
100;1;1;2; ;1;1; ;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;2;1;1;2;2;2;2;2;2;1;2;1;2;2;2;2;8;53;31;2;16;1;1; ;5;2;2;49,2;,72
101;1;1;1; ;1;2;3;1;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;2;1;2;1;1;1;2;2;2;2;2;1;2;2;3;2;1;8;50;31;1;16;1;1; ;5;2;2;49,2;,72
103;1;1;1; ;1;1; ;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;3; ;10;70;39;1;35;3;1; ;1;2;4;74,2;1,04
105;1;1;2; ;1;1; ;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;1;2;1;1;2;1;1;2;2;2;2;1;1;1;3;98;10;70;39;2;29;2;1; ;1;5;3;74,2;1,04
106;1;1;2; ;1;2;3;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;1;1;1;1;1;1;2;2;1;1;1;1;2;2;1;2;10;70;39;2;25;2;1; ;1;4;2;74,2;1,04
107;1;2; ;9;2; ; ;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;2;2;1;2;1;2;2;2;2;2;1;2;2;2;2;1;3;1;10;70;39;2;21;1;1; ;2;2;5;74,2;1,04
108;1;1;2; ;1;1; ;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;2;2;1;1;1;1;1;1;2;2;1;2;1;2;2;2;1;2;10;70;39;1;28;2;1; ;1;2;3;74,2;1,04
109;1;1;1; ;1;1; ;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;2;2;1;1;1;1;1;1;1;2;1;2;1;2;1;2;3;1;10;70;39;2;63;5;1; ;1;5;2;74,2;1,04
